Site,Name,Lat,Lon,Start,End,Years,%,AWS
3083,BROOME BIRD OBSERVATORY,-17.9769,122.3431,Aug-91,May-97,5.8,100,N
3084,DERBY (MANNING RD),-17.3436,123.6781,Mar-92,Dec-23,29.8,94,N
3085,MOUNT JOWLAENGA,-17.4311,123.0389,Dec-92,May-99,6.5,100,N
3086,WILLARE BRIDGE,-17.7278,123.6547,Jan-92,May-20,22.4,79,N
3087,TANJUNGPANDAN,-17.5606,122.1458,Aug-93,Jun-00,6.5,94,N
3088,LARRAWA,-18.8375,126.5247,Jul-95,Jan-24,28.6,100,N
3089,BROOME COMPARISON,-17.9492,122.2339,Aug-95,Jul-98,1.9,64,N
3090,DEBESA,-17.7981,124.0772,Oct-95,Jan-24,22.6,80,N
3091,BEEFWOOD PARK,-18.9894,125.8478,Jan-96,Nov-19,16.3,68,N
3092,SOUTH EAST WATERBANK,-17.8578,122.2725,Sep-96,Aug-99,3,100,Y
3093,FITZROY CROSSING AERO,-18.1814,125.5619,Aug-97,Jan-24,26.5,100,Y
3094,WINDJANA GORGE,-17.4211,124.9246,Jun-09,Jan-24,14.4,98,N
3095,PILLARA SPRINGS,-18.3192,125.7806,Jan-98,Jul-03,5.6,100,N
3098,MOUNT HOUSE AIRSTRIP,-17.0535,125.712,Oct-02,Jan-24,20.9,98,N
3099,LEOPOLD DOWNS TBRG,-17.7535,125.3807,Apr-16,Jan-24,7.8,100,N
3100,LIVERINGA STATION,-17.9503,124.2653,Jan-01,Jan-24,22.7,98,N
3101,DAMPIER DOWNS AIRSTRIP,-18.5096,123.4676,Nov-09,Jan-24,13.3,94,N
3103,MIDDLE LAGOON,-16.7742,122.5762,Jan-05,Feb-11,1.6,26,N
3104,BIDAN,-17.645,123.1678,Jan-05,Dec-13,3.2,35,N
3105,LAUREL DOWNS,-18.1105,125.3347,Jan-07,Jul-23,12.9,78,N
3106,ELLENDALE MINESITE,-17.5669,124.8411,Oct-07,Apr-15,6.9,91,N
3108,YAMPI SOUND (DEFENCE),-16.7671,123.981,Apr-19,Jan-24,4.3,90,Y
4000,ABYDOS,-21.4167,118.9333,Jul-17,Dec-74,51.5,90,N
4001,WOODBROOK,-20.9,117.1167,Jun 1897,Oct-74,76.3,98,N
4002,PORT HEDLAND POST OFFICE,-20.3139,118.5742,Dec 1897,Jun-48,50.6,100,N
4003,BALFOUR DOWNS,-22.8,120.8625,Jun-07,Jul-95,64.1,73,N
4004,BAMBOO CREEK,-20.9264,120.2075,Nov 1897,Jan-24,104.8,83,N
4005,BAMBOO SPRINGS,-22.0517,119.6325,Sep-05,Oct-78,73.1,100,N
4006,BONNEY DOWNS,-22.1828,119.935,Jan-07,Jan-24,116.9,100,N
4007,BOODARIE,-20.4,118.4667,Jan 1887,Sep-73,85.5,98,N
4008,CARLINDIE,-20.6392,119.2431,Aug-07,Nov-23,79.8,69,N
4009,COONGAN STATION,-20.6833,119.6667,Jan-04,Nov-74,69.3,98,N
4010,COOYA POOYA,-21.0333,117.1333,Jan-00,Mar-74,72.2,97,N
4011,CORUNNA DOWNS,-21.4667,119.8333,Jun 1897,Apr-75,74.5,96,N
4012,DE GREY,-20.1756,119.1908,Jan 1888,Jan-24,105.1,77,N
4013,ETTRICK,-20.5167,119.6667,Jun-01,May-64,60,95,N
4014,EGINBAH,-20.85,119.7667,Jan-30,Jul-72,41.3,97,N
4015,HILLSIDE STATION,-21.7219,119.3989,Jan-17,Jun-18,92.1,91,N
4016,INDEE,-20.7867,118.5972,Jan-09,Jan-24,110.3,96,N
4017,STATION PEAK,-21.15,118.1,Jan-04,May-11,7.4,100,N
4018,LIMESTONE,-21.1833,119.8167,Jan-25,Aug-67,35.8,84,N
4019,MANDORA,-19.7419,120.8433,Sep-13,Jan-24,110.3,100,Y
4020,MARBLE BAR COMPARISON,-21.1756,119.7497,Jan 1895,Aug-06,111.6,100,N
4021,MOUNT EDGAR,-21.3122,120.0586,Apr-01,Jul-97,77.8,81,N
4022,MUCCAN,-20.6334,120.0863,Jan 1898,Dec-23,93.4,74,N
4023,MULYIE,-20.4619,119.5189,Jan 1888,May-20,102.3,77,N
4024,MUNDABULLANGANA,-20.5192,118.0603,Jan 1899,Feb-17,83.8,71,N
4025,NIMINGARRA,-20.5,119.8,Jan-09,Jan-67,56.7,97,N
4026,NOREENA DOWNS,-22.2914,120.1761,Jan-11,Dec-23,103.3,91,N
4027,NULLAGINE,-21.8861,120.1103,Jun 1897,Mar-04,97.7,91,N
4028,PARDOO STATION,-20.1078,119.5811,Jan-04,Apr-23,110.9,93,N
4029,COORAGOORA,-19.9604,120.2744,Jan-54,Jun-23,6.1,9,N
4030,PILGA,-21.4,119.4,Sep-15,Nov-61,42.2,91,N
4031,POINT SAMSON,-20.6267,117.1925,Aug-49,Jul-83,29.3,86,N
4032,PORT HEDLAND AIRPORT,-20.3725,118.6317,Aug-42,Jan-24,81.5,100,Y
4033,PYRAMID STATION,-21.0561,117.4436,Feb-51,Jul-20,62.8,90,N
4034,RPF 734 MILE,-22.0167,121.4,Jan-13,Feb-47,33.6,98,N
4035,ROEBOURNE,-20.7767,117.1456,Jan 1887,Jan-15,127.3,99,N
4036,STRELLEY,-20.4681,119.0556,Jun-06,Aug-22,88.8,76,N
4037,TALGA TALGA,-21.05,120,Mar 1897,Dec-70,64.2,87,N
4038,WALLAREENYA,-20.7483,118.8172,Jul-08,Apr-23,88.4,77,N
4039,WARAMBIE,-20.9484,117.3732,Jan-37,Jun-23,82.4,95,N
4040,WARRALONG,-20.6472,119.5869,Jan 1899,Jun-80,73,90,N
4041,WARRAWAGINE,-20.8508,120.6961,Nov 1897,Jan-24,112.6,89,N
4042,WHIM CREEK,-20.8414,117.8353,Dec 1897,Nov-13,80.6,69,N
4043,REDMONT,-21.9931,119.0131,Dec-25,Apr-12,43.8,51,N
4044,WIDJUP OUTCAMP,-19.5,121.3,Dec-21,Dec-48,21.8,80,N
4045,ABYDOS WOODSTOCK,-21.62,118.955,Jan-01,Sep-97,69.8,72,N
4046,YARRIE,-20.6739,120.2044,Jan 1898,Jan-24,122,97,N
4047,TABBA TABBA,-20.8333,118.9,Dec-24,Sep-76,51.3,99,N
4048,YANDEEARRA,-21.2853,118.4042,Jan-02,Nov-73,33.6,47,N
4049,SPLIT ROCK,-21.6,119.6,Nov-27,Sep-49,21.9,100,N
4050,YALGOORA,-21.6,119.7,Jun-37,Sep-49,12.3,100,N
4051,BALLA BALLA,-20.6,117.8,Jun 1898,Feb-27,15.9,55,N
4052,RPF 80 MILE,-20.5667,120.65,Sep-09,Nov-43,30.1,88,N
4053,CONDON,-20,119.4,Apr 1889,Dec-27,38.8,100,N
4054,COSSACK,-20.6783,117.1892,Jan 1882,Mar-15,51.6,39,N
4055,CROYDON,-21.1,117.8,Jun-00,Dec-19,12.8,65,N
4056,KANGAN,-21.1,118.5167,Jan-35,Apr-45,10.3,100,N
4057,LALLA ROOKH,-20.8833,119.15,Jan-17,Nov-73,34.5,61,N
4058,LOCHNAVAR,-20.7,121.0167,Jan-12,Jul-19,7.6,100,N
4059,MALLINA,-20.8822,118.0308,Jun-00,May-20,86.8,72,N
4060,MIDDLE CREEK,-21.8,120.3,Apr-04,Mar-15,10,91,N
4061,MOUNT SATIRIST,-21.1,117.9833,Dec-12,Nov-47,34.2,98,N
4062,MYADEE,-20.1,119.75,Jan-13,Sep-42,28.4,95,N
4063,POONDAWINDIE,-22.2,120.2,Feb-30,Dec-38,8.9,100,N
